scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,panel
A1,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.0024627106652180954,-0.001520250734218076,0.01794500707465534,0.06832208974,0.02090177485481157,1.0082758148381437,490.6610679685805,0,0,0,0,0,0,0.582558017302093,A
A10,default,treatment_effect_mean,-0.15,25,0.92,-0.004610131441000005,-3.229341650000106e-4,0.022737199395329966,0.03416089097999998,0.012022499479510548,2.05595437911409,2.6767765037760496,0.04,0.2,5,0.04,0,40,0.6732754599972685,A
A11,default,treatment_effect_mean,-0.3374485596707819,15,0.8,0.008037865176115247,0.007302523880781897,0.018563682154638616,0.06480859463333333,0.019917069966614583,1.0141757824742001,427.3378523970735,0,0,0,0,0,0,0.727231683130616,A
A12,individual,treatment_effect_mean,-0.3374485596707819,15,0.7333333333333333,0.0027130972151152453,0.004006069050781935,0.02456790391716416,0.062209512933333336,0.019038973046089643,1.0068139162589922,422.8933909468401,0,0,0,0,0,0,0.5978858896317373,A
A12,summary,treatment_effect_mean,-0.3374485596707819,15,0.8,0.0027282124407819073,0.0036266086357819027,0.024591282723798343,0.06352266016666668,0.01947553077586166,1.0063505261448138,571.9430811322454,0,0,0,0,0,0,0.6378216701104471,A
A13,hierarchical_rho,treatment_effect_mean,-0.3374485596707819,25,0.8,0.012599973058381914,0.012128740420781936,0.020755871612774306,0.07153580904,0.021813443391733696,1.0159141097032747,284.68009392741334,0,0,0,0,0,0,0.5991401940717033,A
A13,known_rho,treatment_effect_mean,-0.3374485596707819,25,0.8,0.011976258174581906,0.009892984420781903,0.0209422136986882,0.07176665080000001,0.022080800729470034,1.0118598578781488,334.4790168716962,0,0,0,0,0,0,0.5642687862865093,A
A14,default,treatment_effect_mean,0.3374485596707819,25,0.92,-0.0028917534245819156,-0.006908467390781936,0.021206191079943894,0.06390890372,0.019539755862121096,1.0116099949342658,316.5586882470847,0,0,0,0,0,0,0.6116973371078889,A
A15,default,treatment_effect_mean,0,25,0.88,0.002165294272069874,-0.0025264555361405,0.019566601430206894,0.058269289308285,0.017874995019886507,1.0093091024519276,542.1544885398139,0,0,0,0,0,0,0.5751432581611237,A
A16,default,treatment_effect_mean,-0.3374485596707819,25,1,0.009785914448381904,0.011736977350781885,0.016917236860870363,0.06672340364,0.02048031626279536,1.011340158098553,327.2314000683158,0,0,0,0,0,0,0.6006500191184053,A
A17,default,treatment_effect_mean,-0.3374485596707819,25,0.92,0.008352157215381916,0.008324260715781906,0.017107538417029004,0.06354890786,0.01933256492280891,1.0133397442021752,240.15387335153346,0,0,0,0,0,0,0.6371670421465022,A
A18,default,treatment_effect_mean,0.3374485596707819,25,0.88,-0.0036722108111819085,-0.0031490364507819057,0.02119343510554477,0.06811907027999999,0.02094682998725617,1.0091602193024016,321.3950880908106,0,0,0,0,0,0,0.6046206032279188,A
A2,default,treatment_effect_mean,-0.3374485596707819,25,0.88,0.0021957195275819075,0.0013168221457819373,0.012734716272175137,0.03866162637999999,0.011794890983229247,1.0130223064419517,333.8306038269205,0,0,0,0,0,0,0.5643808463428494,A
