scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
A1,default,time_trend_mean,-0.08998628257887518,25,1,-0.0013846523396248156,-0.001302755779124809,0.00880960274250371,0.039721436224,0.012108484845708232,1.0082682569785413,319.14643168681704,0,0,0,0,0,0,0.6130715957224322
A1,default,time_trend_sd,0.045528614603915496,25,0.92,0.0024758893063045045,0.0025180602675845057,0.009113415503015955,0.033591466926,0.010430300667302696,1.0082682569785413,319.14643168681704,0,0,0,0,0,0,0.6130715957224322
A1,default,treatment_effect_mean,-0.3374485596707819,25,0.8,0.00955793971838191,0.008406365475781885,0.024954740178036953,0.06740119911999999,0.02062976187627926,1.0082682569785413,319.14643168681704,0,0,0,0,0,0,0.6130715957224322
A1,default,treatment_effect_sd,0.07626392697027408,25,0.96,0.00635234789692592,0.0038937686097259144,0.014845352672656248,0.055489589875999994,0.017273521068156564,1.0082682569785413,319.14643168681704,0,0,0,0,0,0,0.6130715957224322
A10,default,baseline_control_mean,0.45,25,0.96,0.001472280522399989,0.0047335052449999915,0.011258748898869604,0.04397577236000001,0.013542489256457629,1.0126887287260475,270.6827525992897,0,0.24,3,0.12,0,0,0.6683408726008682
A10,default,time_trend_mean,-0.04,25,0.84,-0.0026778666108277986,-0.0020917278940000006,0.008252155790326916,0.022546381401999997,0.006937423860607453,1.0126887287260475,270.6827525992897,0,0.24,3,0.12,0,0,0.6683408726008682
A10,default,time_trend_sd,0.02,25,0.92,4.6391995485637965e-4,0.002156380642349999,0.005565832130212262,0.02113653083324,0.0065514467369859886,1.0126887287260475,270.6827525992897,0,0.24,3,0.12,0,0,0.6683408726008682
A10,default,treatment_effect_mean,-0.15,25,0.84,0.0027774695077399914,0.002701655989999996,0.00923976480741981,0.025882347459999993,0.007898283546065832,1.0126887287260475,270.6827525992897,0,0.24,3,0.12,0,0,0.6683408726008682
A10,default,treatment_effect_sd,0.03,25,0.8,6.745647900035887e-5,-7.789409389999981e-4,0.0067708724103953625,0.0207933759558,0.006366138071232276,1.0126887287260475,270.6827525992897,0,0.24,3,0.12,0,0,0.6683408726008682
A11,default,time_trend_mean,-0.08998628257887518,25,0.92,-0.001891357770298816,-0.0029429665646248104,0.009838317414143235,0.039971861292,0.012233805300790818,1.007762281299256,415.4937348770552,0,0,0,0,0,0,0.7144093046430794
A11,default,time_trend_sd,0.045528614603915496,25,0.96,0.0026917542383025047,0.0033163905935845034,0.008289998964418989,0.033864657933999995,0.010509409957696569,1.007762281299256,415.4937348770552,0,0,0,0,0,0,0.7144093046430794
A11,default,treatment_effect_mean,-0.3374485596707819,25,0.96,-0.001269411662018083,-0.0015861388992181036,0.0183012707364135,0.06994679174000001,0.021430411963842086,1.007762281299256,415.4937348770552,0,0,0,0,0,0,0.7144093046430794
A11,default,treatment_effect_sd,0.07626392697027408,25,0.84,0.010325140239575922,0.013703859707225916,0.021002857525674972,0.057484265055999996,0.01787279220495139,1.007762281299256,415.4937348770552,0,0,0,0,0,0,0.7144093046430794
A12,individual,time_trend_mean,-0.08998628257887518,25,0.96,-0.0024237404292448144,-0.0029776679311248194,0.011152684856589339,0.03891494911,0.011910351190393681,1.0161689901394007,356.08693836722483,0,0,0,0,0,0,0.5911491600369921
A12,individual,time_trend_sd,0.045528614603915496,25,0.88,8.195466283651034e-4,0.0016334280045845057,0.009953246789940477,0.033452248164,0.01034164195445266,1.0161689901394007,356.08693836722483,0,0,0,0,0,0,0.5911491600369921
A12,individual,treatment_effect_mean,-0.3374485596707819,25,0.84,-0.0012277388484180874,-0.0011235311642180945,0.022224904108638633,0.0694333536,0.021215219508299396,1.0161689901394007,356.08693836722483,0,0,0,0,0,0,0.5911491600369921
A12,individual,treatment_effect_sd,0.07626392697027408,25,0.8,0.009694332773359921,0.012449006365225918,0.02129427972991746,0.05714287763,0.017885405241497843,1.0161689901394007,356.08693836722483,0,0,0,0,0,0,0.5911491600369921
A12,summary,time_trend_mean,-0.08998628257887518,25,0.96,-0.0022412173741648152,-0.0029646952651248143,0.011069096074820666,0.038688759903999996,0.011836676542498243,1.007857153877875,286.9360062150149,0,0,0,0,0,0,0.6124058763090514
A12,summary,time_trend_sd,0.045528614603915496,25,0.88,8.425409679595032e-4,0.0018306420940845045,0.009854353412964397,0.033313675345799994,0.010380222339181996,1.007857153877875,286.9360062150149,0,0,0,0,0,0,0.6124058763090514
A12,summary,treatment_effect_mean,-0.3374485596707819,25,0.88,-0.0012512312698180871,-0.0011333992692180717,0.0219999145282039,0.06842343726,0.02105223658016359,1.007857153877875,286.9360062150149,0,0,0,0,0,0,0.6124058763090514
A12,summary,treatment_effect_sd,0.07626392697027408,25,0.8,0.009766119267783922,0.011552932216725917,0.021258629535844304,0.05715687853999999,0.017776865641864797,1.007857153877875,286.9360062150149,0,0,0,0,0,0,0.6124058763090514
A13,hierarchical_rho,time_trend_mean,-0.08998628257887518,25,0.88,-0.0024843436263648168,-0.0033915530696248114,0.01211814618231322,0.044357498897999996,0.013576865331968127,1.0133511727469515,240.27508779953587,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,time_trend_sd,0.045528614603915496,25,0.72,0.009013807135827105,0.009218742041084506,0.016002122485450323,0.03679184182,0.011487914276500477,1.0133511727469515,240.27508779953587,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,treatment_effect_mean,-0.3374485596707819,25,0.92,0.007503269667981909,0.01008514589578191,0.020198394807501956,0.07019587875999998,0.021461406613741053,1.0133511727469515,240.27508779953587,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,treatment_effect_sd,0.07626392697027408,25,0.84,0.01060758949774592,0.006492105879725915,0.017579267308212347,0.057155481737999995,0.017777131196971253,1.0133511727469515,240.27508779953587,0,0,0,0,0,0,0.5889800195724013
A13,known_rho,time_trend_mean,-0.08998628257887518,25,0.92,-7.650489765248151e-4,-0.0019298953801248214,0.01205614419755958,0.042895260617999996,0.013044842990690414,1.909155742473058,2.868379754868398,1,1975.44,2000,1,1,23.16,0.4377255684750278
A13,known_rho,time_trend_sd,0.045528614603915496,25,0.64,0.009288154480704504,0.008431697422584504,0.016102158306779087,0.036023158443999996,0.011154979646985164,1.909155742473058,2.868379754868398,1,1975.44,2000,1,1,23.16,0.4377255684750278
A13,known_rho,treatment_effect_mean,-0.3374485596707819,25,0.92,0.006580662419781915,0.0039512998857819115,0.019415321650679208,0.06301451026,0.019061905740783678,1.909155742473058,2.868379754868398,1,1975.44,2000,1,1,23.16,0.4377255684750278
A13,known_rho,treatment_effect_sd,0.07626392697027408,25,0.8,0.01130376122664592,0.007594211818725924,0.01831079845232842,0.056908757255999996,0.017575811579281946,1.909155742473058,2.868379754868398,1,1975.44,2000,1,1,23.16,0.4377255684750278
A14,default,time_trend_mean,-0.08998628257887518,25,0.92,0.004274666388295183,0.004259072407375178,0.01019030803141245,0.040906166294,0.012478901804066909,1.0104863782680198,380.93078323893275,0,0,0,0,0,0,0.5904344218449971
A14,default,time_trend_sd,0.045528614603915496,25,0.88,0.004138520139816504,0.0025671558645845027,0.01012234598618486,0.034629895096,0.010771056765420273,1.0104863782680198,380.93078323893275,0,0,0,0,0,0,0.5904344218449971
A14,default,treatment_effect_mean,0.3374485596707819,25,0.88,-0.0024953317075819092,-9.094410107818862e-4,0.018745062649503104,0.06796505664000001,0.020822606124610968,1.0104863782680198,380.93078323893275,0,0,0,0,0,0,0.5904344218449971
A14,default,treatment_effect_sd,0.07626392697027408,25,0.88,0.0072488878035059205,0.00711421418422592,0.01742582651017501,0.056072077559999996,0.017417393817724523,1.0104863782680198,380.93078323893275,0,0,0,0,0,0,0.5904344218449971
A15,default,time_trend_mean,-0.08998628257887518,25,0.96,0.005856843218495184,0.003241560273875191,0.011474837426730113,0.042185114893999995,0.012904845658226204,1.0079389734869328,485.9355061105632,0,0,0,0,0,0,0.6007149716577929
A15,default,time_trend_sd,0.045528614603915496,25,0.8,0.0061399914846465035,0.0024861449925845033,0.012860209627095586,0.035375668182,0.010956214259294649,1.0079389734869328,485.9355061105632,0,0,0,0,0,0,0.6007149716577929
A15,default,treatment_effect_mean,0,25,0.88,-0.006153483767384252,-0.00696835798042575,0.020131048260510626,0.0616406605698,0.018961074154029253,1.0079389734869328,485.9355061105632,0,0,0,0,0,0,0.6007149716577929
A15,default,treatment_effect_sd,0.06666666666666667,25,0.88,0.008420483481133334,0.008948407626333338,0.014345757933110378,0.051223517091999994,0.015885976361859715,1.0079389734869328,485.9355061105632,0,0,0,0,0,0,0.6007149716577929
A16,default,time_trend_mean,0.08998628257887518,25,0.96,-0.001637131535531185,-0.0037077695068751804,0.011027667367142792,0.042968084982,0.013115228881910917,1.0135373243147783,357.5264648467884,0,0,0,0,0,0,0.5511798805672461
A16,default,time_trend_sd,0.045528614603915496,25,0.88,0.007101510852206503,0.007154883955584501,0.011742374820259865,0.036193819812,0.01129033109663867,1.0135373243147783,357.5264648467884,0,0,0,0,0,0,0.5511798805672461
