scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,metadid_install_datetime,run_date,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,se_bias,se_ci_width,se_posterior_sd
A12,summary,time_trend_mean,-0.08888888888888889,25,0.92,-0.0033882076770311,-0.00430452861336111,0.01137670619519904,0.03879521992999998,0.01186273764095802,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,time_trend_sd,0.04444444444444444,25,0.88,0.00191427767092932,0.00297447044680555,0.01003142837638594,0.03333407521699999,0.01039807747193892,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,treatment_effect_mean,-0.3333333333333333,25,0.84,-0.00548362098976668,-0.00462026319666669,0.02266753069064431,0.06913116697999999,0.02113133468105814,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,summary,treatment_effect_sd,0.06666666666666667,25,0.6,0.01936712328605233,0.02149081774033333,0.02692668204542276,0.05718371379799998,0.01778835744040811,1.0064159058904714,697.1790480366566,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,hierarchical_rho,time_trend_mean,-0.08888888888888889,25,0.84,-0.0036874797219231,-0.00423357882161111,0.01245571315950748,0.04430669361199999,0.0135813339965797,1.0070488991002116,692.435974886657,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,hierarchical_rho,time_trend_sd,0.04444444444444444,25,0.68,0.01010466287029785,0.01032411037105555,0.01666151644479132,0.03710429613199999,0.01154389793119314,1.0070488991002116,692.435974886657,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,hierarchical_rho,treatment_effect_mean,-0.3333333333333333,25,0.96,0.00351657893043331,0.0055048998533333,0.01897774125290466,0.07003410721999999,0.02144551603533968,1.0070488991002116,692.435974886657,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,hierarchical_rho,treatment_effect_sd,0.06666666666666667,25,0.64,0.02020439229729333,0.01623374929408333,0.02468262851391395,0.05741821363199998,0.01783951051400422,1.0070488991002116,692.435974886657,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,known_rho,time_trend_mean,-0.08888888888888889,25,0.92,-0.0029246991071411,-0.0034430628506111,0.01194103050255084,0.04378453227199999,0.01338555867279264,1.5712432332223962,7.059516659326282,1,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,known_rho,time_trend_sd,0.04444444444444444,25,0.64,0.01013097880320555,0.00993869105380555,0.01629704018788549,0.03710901267599999,0.0116059631113005,1.5712432332223962,7.059516659326282,1,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,known_rho,treatment_effect_mean,-0.3333333333333333,25,0.92,0.0031023196374333,0.00382337184833331,0.01880216414667354,0.06687506725999999,0.02038696214497746,1.5712432332223962,7.059516659326282,1,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A13,known_rho,treatment_effect_sd,0.06666666666666667,25,0.6,0.02000671950635333,0.01699092515408333,0.02466104608627973,0.05590200484999998,0.01723601151230793,1.5712432332223962,7.059516659326282,1,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A14,default,time_trend_mean,-0.08888888888888889,25,0.92,0.00308121010076889,0.00305939718563889,0.00985473138272591,0.04086184431999999,0.01248565972267386,1.0069992693940373,700.1069525706249,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A14,default,time_trend_sd,0.04444444444444444,25,0.92,0.00525093479763055,0.00384344449930555,0.01061969769926031,0.03470202485399999,0.01080234114371719,1.0069992693940373,700.1069525706249,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A14,default,treatment_effect_mean,0.3333333333333333,25,0.92,0.00175505369996668,0.00342133358666668,0.01869515885376373,0.06806980583999998,0.0208269708144495,1.0069992693940373,700.1069525706249,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A14,default,treatment_effect_sd,0.06666666666666667,25,0.76,0.01687573956235333,0.01665946108733333,0.02315944674003825,0.05593027998999998,0.01741981797566251,1.0069992693940373,700.1069525706249,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A15,default,time_trend_mean,-0.08888888888888889,25,0.96,0.00479778032842889,0.00228930720138889,0.01091443399204154,0.04234427605999999,0.01296546973251771,1.004698712543754,870.6164815319397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A15,default,time_trend_sd,0.04444444444444444,25,0.8,0.00730649083438355,0.00415636035030555,0.01337274590471774,0.03536379020799999,0.01094906949078566,1.004698712543754,870.6164815319397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
