scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad
A1,default,time_trend_mean,-0.08888888888888889,25,1,-0.002487592838463108,-0.0022209241711111105,0.009049829578543087,0.03963540399999999,0.012161704615637403,1.0049714369442453,693.7521826979573,0
A1,default,time_trend_sd,0.044444444444444446,25,0.92,0.0036579423732055545,0.003379089867055554,0.009567159831531658,0.03384073686999999,0.010504129390418006,1.0049714369442453,693.7521826979573,0
A1,default,treatment_effect_mean,-0.3333333333333333,25,0.84,0.005466709468933311,0.0045324045533333135,0.023807673055229482,0.06749373481999997,0.020688081612054765,1.0049714369442453,693.7521826979573,0
A1,default,treatment_effect_sd,0.06666666666666667,25,0.8,0.015980245889663333,0.013815319397583334,0.020780578185722456,0.05533902822599999,0.01725569647167067,1.0049714369442453,693.7521826979573,0
A10,default,baseline_control_mean,0.45,25,0.96,0.001369700885899996,0.004320613717499977,0.01110679076369144,0.04424510595999998,0.013602145640655042,1.007613914490761,512.6268953558856,0
A10,default,time_trend_mean,-0.04,25,0.84,-0.0026338825752263988,-0.0022710636854249983,0.008223914519160871,0.022660471769999996,0.006959379318943898,1.007613914490761,512.6268953558856,0
A10,default,time_trend_sd,0.02,25,0.96,4.6794678029349367e-4,0.002074770021549998,0.0055727948622840365,0.021274410689799995,0.006592976883095813,1.007613914490761,512.6268953558856,0
A10,default,treatment_effect_mean,-0.15,25,0.84,0.002739046304519994,0.0025488219925000055,0.00924796052277157,0.02591032548,0.007878166271256778,1.007613914490761,512.6268953558856,0
A10,default,treatment_effect_sd,0.03,25,0.8,3.877630852278005e-5,-7.070448567499978e-4,0.0067729610351171445,0.020766617171599996,0.00636606396540887,1.007613914490761,512.6268953558856,0
A11,default,time_trend_mean,-0.08888888888888889,25,0.92,-0.0029982359951181083,-0.003530662962611106,0.010217503304299113,0.03998430544999999,0.012195323774755124,1.005005386152776,811.0856029005804,0
A11,default,time_trend_sd,0.044444444444444446,25,0.96,0.0037736075294729143,0.004363732378305556,0.008756404282141113,0.034135908779999995,0.01058065172862299,1.005005386152776,811.0856029005804,0
A11,default,treatment_effect_mean,-0.3333333333333333,25,0.96,-0.0055419723022666866,-0.005608275951666686,0.019309363215339968,0.07000679571999999,0.021435846963782458,1.005005386152776,811.0856029005804,0
A11,default,treatment_effect_sd,0.06666666666666667,25,0.56,0.019812590652315335,0.02309837021458333,0.026953774834634767,0.057565989163999985,0.017890318108333622,1.005005386152776,811.0856029005804,0
A12,individual,time_trend_mean,-0.08888888888888889,25,0.92,-0.0033886605774911096,-0.004001044880361113,0.011380354741622193,0.03871334048199999,0.011883280619477361,1.0093700657763514,765.0604215871606,0
A12,individual,time_trend_sd,0.044444444444444446,25,0.92,0.0019797332138927533,0.002738327703555553,0.010053481598407046,0.03354983807599999,0.01039478585859247,1.0093700657763514,765.0604215871606,0
A12,individual,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00548441644736668,-0.004932217526666671,0.02270012082333392,0.06934332144,0.02121459863788241,1.0093700657763514,765.0604215871606,0
A12,individual,treatment_effect_sd,0.06666666666666667,25,0.64,0.019204394920377333,0.02194756221008333,0.02686641320806902,0.05708273455799999,0.017823792142058953,1.0093700657763514,765.0604215871606,0
A12,summary,time_trend_mean,-0.08888888888888889,25,0.92,-0.003388207677031108,-0.004304528613361114,0.01137670619519904,0.038795219929999986,0.01186273764095802,1.0064159058904714,697.1790480366566,0
A12,summary,time_trend_sd,0.044444444444444446,25,0.88,0.0019142776709293236,0.0029744704468055508,0.010031428376385945,0.03333407521699999,0.01039807747193892,1.0064159058904714,697.1790480366566,0
A12,summary,treatment_effect_mean,-0.3333333333333333,25,0.84,-0.005483620989766684,-0.004620263196666696,0.022667530690644318,0.06913116697999999,0.02113133468105814,1.0064159058904714,697.1790480366566,0
A12,summary,treatment_effect_sd,0.06666666666666667,25,0.6,0.019367123286052335,0.02149081774033333,0.026926682045422763,0.05718371379799998,0.017788357440408117,1.0064159058904714,697.1790480366566,0
A13,hierarchical_rho,time_trend_mean,-0.08888888888888889,25,0.84,-0.0036874797219231085,-0.004233578821611114,0.012455713159507482,0.04430669361199999,0.013581333996579707,1.0070488991002116,692.435974886657,0
A13,hierarchical_rho,time_trend_sd,0.044444444444444446,25,0.68,0.010104662870297855,0.010324110371055552,0.016661516444791323,0.03710429613199999,0.011543897931193146,1.0070488991002116,692.435974886657,0
A13,hierarchical_rho,treatment_effect_mean,-0.3333333333333333,25,0.96,0.003516578930433312,0.0055048998533333005,0.01897774125290466,0.07003410721999999,0.02144551603533968,1.0070488991002116,692.435974886657,0
A13,hierarchical_rho,treatment_effect_sd,0.06666666666666667,25,0.64,0.020204392297293334,0.016233749294083333,0.02468262851391395,0.05741821363199998,0.017839510514004224,1.0070488991002116,692.435974886657,0
A13,known_rho,time_trend_mean,-0.08888888888888889,25,0.92,-0.0029246991071411074,-0.003443062850611106,0.01194103050255084,0.04378453227199999,0.013385558672792649,1.5712432332223962,7.059516659326282,1
A13,known_rho,time_trend_sd,0.044444444444444446,25,0.64,0.010130978803205553,0.009938691053805557,0.016297040187885498,0.03710901267599999,0.011605963111300504,1.5712432332223962,7.059516659326282,1
A13,known_rho,treatment_effect_mean,-0.3333333333333333,25,0.92,0.0031023196374333085,0.0038233718483333123,0.01880216414667354,0.06687506725999999,0.020386962144977462,1.5712432332223962,7.059516659326282,1
A13,known_rho,treatment_effect_sd,0.06666666666666667,25,0.6,0.020006719506353333,0.016990925154083333,0.02466104608627973,0.05590200484999998,0.017236011512307935,1.5712432332223962,7.059516659326282,1
A14,default,time_trend_mean,-0.08888888888888889,25,0.92,0.003081210100768893,0.0030593971856388985,0.009854731382725915,0.04086184431999999,0.012485659722673867,1.0069992693940373,700.1069525706249,0
A14,default,time_trend_sd,0.044444444444444446,25,0.92,0.005250934797630553,0.0038434444993055566,0.010619697699260312,0.03470202485399999,0.010802341143717194,1.0069992693940373,700.1069525706249,0
A14,default,treatment_effect_mean,0.3333333333333333,25,0.92,0.0017550536999666865,0.003421333586666686,0.018695158853763733,0.06806980583999998,0.020826970814449508,1.0069992693940373,700.1069525706249,0
A14,default,treatment_effect_sd,0.06666666666666667,25,0.76,0.01687573956235333,0.016659461087333335,0.02315944674003825,0.055930279989999984,0.017419817975662513,1.0069992693940373,700.1069525706249,0
A15,default,time_trend_mean,-0.08888888888888889,25,0.96,0.004797780328428893,0.002289307201388896,0.01091443399204154,0.04234427605999999,0.012965469732517717,1.0046987125437539,870.6164815319397,0
A15,default,time_trend_sd,0.044444444444444446,25,0.8,0.007306490834383553,0.004156360350305553,0.01337274590471774,0.03536379020799999,0.010949069490785663,1.0046987125437539,870.6164815319397,0
A15,default,treatment_effect_mean,0,25,0.88,-0.006264400669857308,-0.006984809372232777,0.02032155883904216,0.06185205583879999,0.01895622711739746,1.0046987125437539,870.6164815319397,0
A15,default,treatment_effect_sd,0.06666666666666667,25,0.88,0.008364055725343333,0.00895010922858333,0.014210714602318358,0.05102422584799999,0.015864789942727987,1.0046987125437539,870.6164815319397,0
A16,default,time_trend_mean,0.08888888888888889,25,0.96,-4.7222314422689206e-4,-0.0021542600068888973,0.010841516086997727,0.042968957219999986,0.013174321950111,1.008155510104908,815.9558831222322,0
A16,default,time_trend_sd,0.044444444444444446,25,0.8,0.008148289920506552,0.008254217366055555,0.012410717471692673,0.03615460696799999,0.011267001636629952,1.008155510104908,815.9558831222322,0
A16,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.004140836013866684,-0.004899558714166696,0.017097590919872677,0.06753931161999999,0.020624868849539606,1.008155510104908,815.9558831222322,0
A16,default,treatment_effect_sd,0.06666666666666667,25,0.72,0.016188169792863336,0.01140918938758334,0.023771129640542555,0.05611246901799998,0.0174686502261171,1.008155510104908,815.9558831222322,0
A17,default,time_trend_mean,0.08888888888888889,25,0.88,0.0010643003585591075,-1.0512919138888632e-4,0.01665098114905603,0.05117944556199999,0.01555780293647234,1.0122310474554463,467.3530666733369,0
A17,default,time_trend_sd,0.044444444444444446,25,0.92,0.002198681652249963,0.0011767781782805534,0.013281525989293962,0.04485305665359998,0.013781049514609574,1.0122310474554463,467.3530666733369,0
A17,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.004549860677266684,-0.009939373546666685,0.021507207473351303,0.06654398799999998,0.020290295974698825,1.0122310474554463,467.3530666733369,0
A17,default,treatment_effect_sd,0.06666666666666667,25,0.76,0.012645352602452335,0.013791721271583332,0.019202999766690432,0.05096379410399999,0.01561056123939843,1.0122310474554463,467.3530666733369,0
A18,default,time_trend_mean,0.08888888888888889,25,0.92,0.0038179346959811063,0.003820847009611106,0.013724693292460576,0.04375009676399999,0.013381137594852127,1.0078991505431916,796.0296878754212,0
A18,default,time_trend_sd,0.044444444444444446,25,0.88,0.009337560018252554,0.012694676421305555,0.01484182039304622,0.036775131841999986,0.011428189449676425,1.0078991505431916,796.0296878754212,0
A18,default,treatment_effect_mean,0.3333333333333333,25,0.96,0.004419270900266678,0.002507130446666672,0.019070646759364547,0.06468853585999998,0.019852274029520278,1.0078991505431916,796.0296878754212,0
A18,default,treatment_effect_sd,0.06666666666666667,25,0.84,0.012656125405823336,0.012008440620083341,0.018508585014300465,0.053661159153999986,0.01668895505628023,1.0078991505431916,796.0296878754212,0
A2,default,time_trend_mean,-0.08888888888888889,25,0.84,-0.0018399386296911074,-0.0010320191418611013,0.006624847641362835,0.023285801603999994,0.007093190756067582,1.0088094396106628,989.2042794151652,0
A2,default,time_trend_sd,0.044444444444444446,25,0.72,0.004987000306505554,0.004162177193305555,0.0074104979643151055,0.018643609503999996,0.005707274062689478,1.0088094396106628,989.2042794151652,0
A2,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00476427939306669,-0.004689235851666695,0.012134119266136976,0.037192023500000004,0.011349934747571129,1.0088094396106628,989.2042794151652,0
A2,default,treatment_effect_sd,0.06666666666666667,25,0.6,0.013443972418513335,0.012349829312833335,0.016071959114043733,0.02919791718599999,0.008958229770644794,1.0088094396106628,989.2042794151652,0
A3,default,time_trend_mean,-0.08888888888888889,25,1,-0.00209462493334658,-0.006534311949378188,0.021849206313874825,0.12414413297579997,0.03861114873520171,1.2712507471402439,10.998062362636214,0.08
