scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
A1,default,time_trend_mean,-0.08998628257887518,3,1,5.374837237518323e-5,0.002623687514375181,0.009293379096122434,0.03677800185,0.011250909378382827,1.0054683430458606,550.4521084256679,0,0,0,0,0,0,0.6818913332532732
A1,default,time_trend_sd,0.045528614603915496,3,1,-0.002503322220748831,-0.0032404827789154975,0.006803101060825127,0.03182190781666666,0.009801325212024935,1.0054683430458606,550.4521084256679,0,0,0,0,0,0,0.6818913332532732
A1,default,treatment_effect_mean,-0.3374485596707819,3,1,0.02378220504911525,0.029524553495781924,0.027257623214001575,0.07524029416666665,0.02304827186011675,1.0054683430458606,550.4521084256679,0,0,0,0,0,0,0.6818913332532732
A1,default,treatment_effect_sd,0.07626392697027408,3,1,0.01666072543122592,0.01539438166622592,0.016838156336986602,0.059499301750000004,0.01864611032274646,1.0054683430458606,550.4521084256679,0,0,0,0,0,0,0.6818913332532732
A10,default,baseline_control_mean,0.45,3,1,0.0012889523583333173,0.0021372716249999923,0.006530764451261063,0.04129923816666672,0.012744419507127205,1.003327838707994,460.5750777847743,0,0,0,0,0,0,0.719801911881058
A10,default,time_trend_mean,-0.04,3,0.6666666666666666,-0.007290646666166666,-0.0020917278940000006,0.01176586017932832,0.02577728448333333,0.007839825315564026,1.003327838707994,460.5750777847743,0,0,0,0,0,0,0.719801911881058
A10,default,time_trend_sd,0.02,3,1,0.005603822586583333,0.006557607387700001,0.006143326191861154,0.024330029999999996,0.007440168753749326,1.003327838707994,460.5750777847743,0,0,0,0,0,0,0.719801911881058
A10,default,treatment_effect_mean,-0.15,3,1,0.0020428332949999906,0.008012821759999983,0.009202483435934126,0.027520960333333327,0.008407817378145095,1.003327838707994,460.5750777847743,0,0,0,0,0,0,0.719801911881058
A10,default,treatment_effect_sd,0.03,3,0.6666666666666666,0.0028180517398333355,-0.0011517120709000003,0.007660779287217593,0.024956686333333332,0.007546453876305175,1.003327838707994,460.5750777847743,0,0,0,0,0,0,0.719801911881058
A11,default,time_trend_mean,-0.08998628257887518,3,0.6666666666666666,7.948763590918487e-4,-0.008632154252624813,0.015146624505114498,0.03946007826666666,0.012108653955405202,1.0069532542086612,422.48240853471503,0,0,0,0,0,0,0.7526019782083201
A11,default,time_trend_sd,0.045528614603915496,3,1,0.002693810567917838,0.0014778196305845065,0.0037361565028038316,0.03437045558333333,0.010524882418442554,1.0069532542086612,422.48240853471503,0,0,0,0,0,0,0.7526019782083201
A11,default,treatment_effect_mean,-0.3374485596707819,3,1,-0.001051063742551428,-0.0015861388992181036,0.003696283074256552,0.07547974833333333,0.02302521838370399,1.0069532542086612,422.48240853471503,0,0,0,0,0,0,0.7526019782083201
A11,default,treatment_effect_sd,0.07626392697027408,3,1,0.016646035454725924,0.015784795535725926,0.017949857300714588,0.06023317663333332,0.018855716351225276,1.0069532542086612,422.48240853471503,0,0,0,0,0,0,0.7526019782083201
A12,individual,time_trend_mean,-0.08998628257887518,3,1,-0.009794030175458148,-0.007092071670624811,0.012001817711291139,0.03681980558333333,0.011253163545972888,1.0050217123233505,492.35681241296766,0,0,0,0,0,0,0.5923629819789707
A12,individual,time_trend_sd,0.045528614603915496,3,0.3333333333333333,-0.0020651737454104938,-0.009995459237215495,0.02077619320266436,0.03431219561666666,0.010543844852058285,1.0050217123233505,492.35681241296766,0,0,0,0,0,0,0.5923629819789707
A12,individual,treatment_effect_mean,-0.3374485596707819,3,0.6666666666666666,-0.014134060569218084,-0.0018631027592180827,0.029858851051695414,0.06466737699999998,0.019783561973614555,1.0050217123233505,492.35681241296766,0,0,0,0,0,0,0.5923629819789707
A12,individual,treatment_effect_sd,0.07626392697027408,3,1,0.0026874836488925877,-0.00158564553427408,0.007423770996414669,0.05347829791666667,0.01678672989024026,1.0050217123233505,492.35681241296766,0,0,0,0,0,0,0.5923629819789707
A12,summary,time_trend_mean,-0.08998628257887518,3,1,-0.010234236831124816,-0.007103009183124814,0.012715418880935418,0.03814704138333333,0.011647042505045961,1.0037049318889357,521.383046724182,0,0,0,0,0,0,0.6138936735765566
A12,summary,time_trend_sd,0.045528614603915496,3,0.3333333333333333,-0.0019438032729571623,-0.008989240594915494,0.020392681887927856,0.034500510165,0.010687092354071125,1.0037049318889357,521.383046724182,0,0,0,0,0,0,0.6138936735765566
A12,summary,treatment_effect_mean,-0.3374485596707819,3,0.6666666666666666,-0.013740397787551428,-0.0011333992692180717,0.02892916050287981,0.06342343483333336,0.019435233538768165,1.0037049318889357,521.383046724182,0,0,0,0,0,0,0.6138936735765566
A12,summary,treatment_effect_sd,0.07626392697027408,3,1,0.002706086263225919,-0.0014245662707740858,0.0068200724004904584,0.05327278443333333,0.01664900160166511,1.0037049318889357,521.383046724182,0,0,0,0,0,0,0.6138936735765566
A13,hierarchical_rho,time_trend_mean,-0.08998628257887518,3,0.3333333333333333,-0.00415173410195815,-0.015800152027624817,0.02415594462995344,0.045021585566666675,0.01391465326427954,1.0113637560679762,514.8141185354507,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,time_trend_sd,0.045528614603915496,3,0.6666666666666666,0.011359314305917837,0.007718863455584507,0.014180906432129395,0.036931203749999995,0.011540436584384148,1.0113637560679762,514.8141185354507,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,treatment_effect_mean,-0.3374485596707819,3,1,0.01865682404744858,0.02078654167078192,0.021208808173711065,0.05608873816666667,0.016967828746818663,1.0113637560679762,514.8141185354507,0,0,0,0,0,0,0.5889800195724013
A13,hierarchical_rho,treatment_effect_sd,0.07626392697027408,3,1,-0.010023659801274079,-0.004335292789274081,0.014351351348088355,0.04894610964999999,0.015198546887797619,1.0113637560679762,514.8141185354507,0,0,0,0,0,0,0.5889800195724013
A13,known_rho,time_trend_mean,-0.08998628257887518,3,0.6666666666666666,-8.043061107914801e-4,-0.014731187187124808,0.021535555823940837,0.047286936633333325,0.014308419541614449,1.3836591557144988,4.348054274809385,1,2000,2000,1,1,0,0.6809143567569629
