scenario_id,category,description,model_label,dgp_type,dgp_n_did,dgp_n_rct,dgp_n_pp,dgp_true_effect,dgp_sigma_effect,dgp_true_trend,dgp_sigma_trend,dgp_baseline_mean,dgp_baseline_sd,dgp_within_sd,dgp_rho,dgp_rho_effect_trend,dgp_n_control,dgp_n_treatment,dgp_covariates,dgp_beta_cov,dgp_did_gamma_mean,dgp_did_gamma_sd,dgp_did_gamma_sign_flip,dgp_rct_gamma_mean,dgp_rct_gamma_sd,dgp_rct_gamma_sign_flip,dgp_pp_gamma_mean,dgp_pp_gamma_sd,dgp_n_randomised_did,dgp_n_randomised_rct,dgp_kappa_true,dgp_mislabel_rate,dgp_cluster_size,dgp_icc,dgp_randomisation_label_override,fit_fn,fit_normalise,fit_robust_heterogeneity,fit_design_effects,fit_correlated_effects,fit_hierarchical_rho,fit_time_trend,fit_baseline_imbalance,fit_mu_gamma,fit_kappa,fit_allow_unidentified_kappa,fit_cluster_deff_default,fit_pp_likelihood,fit_covariates,fit_multiplicative_covariate,fit_provide_rho,fit_data_format,fit_label,dgp_bespoke_fn,dgp_delta_rct,dgp_delta_pp,dgp_did_trend,dgp_pp_trend,dgp_n_outlier,dgp_outlier_shift,dgp_effect_df,dgp_within_df,dgp_outlier_direction,dgp_n_outlier_pp,dgp_trend_df,dgp_within_sd_shape,dgp_within_sd_rate,dgp_rho_alpha,dgp_rho_beta,dgp_size_effect_slope,dgp_rho_values,fit_priors,dgp_lognormal_sigma,dgp_trend_low,dgp_trend_high,dgp_mix_prob,dgp_sigma_within,dgp_trend_size_slope,dgp_n_small_min,dgp_n_small_max,dgp_n_large_min,dgp_n_large_max,dgp_level_assignments,dgp_level_multipliers,dgp_level2_assignments,dgp_level2_multipliers
A9,A,"Unnormalised DiD-only, 20 studies, raw scale",default,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,FALSE,FALSE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,A,"Unnormalised DiD-only, 20 studies, raw scale",naive,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did_general,FALSE,FALSE,FALSE,FALSE,TRUE,fixed_zero,fixed_zero,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9,A,"Unnormalised DiD-only, 20 studies, raw scale",robust,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,FALSE,TRUE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,A,"Unnormalised mixed: 10 DiD + 10 RCT + 10 PP, raw scale",default,metadid,10,10,10,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,FALSE,FALSE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,A,"Unnormalised mixed: 10 DiD + 10 RCT + 10 PP, raw scale",naive,metadid,10,10,10,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did_general,FALSE,FALSE,FALSE,FALSE,TRUE,fixed_zero,fixed_zero,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A10,A,"Unnormalised mixed: 10 DiD + 10 RCT + 10 PP, raw scale",robust,metadid,10,10,10,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,FALSE,TRUE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,A,"Individual-level DiD: fit from individual data, 20 studies",default,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,TRUE,FALSE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A11,A,"Individual-level DiD: fit from individual data, 20 studies",robust,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,TRUE,TRUE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,A,"Individual vs summary consistency: same data, fit both ways, 20 studies",summary,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,TRUE,FALSE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,summary,summary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A12,A,"Individual vs summary consistency: same data, fit both ways, 20 studies",individual,metadid,20,0,0,-0.15,0.03,-0.04,0.02,0.45,0.05,0.12,0.5,0,100,100,NA,NA,0,0,FALSE,0,0,FALSE,0,0,0,0,0,0,NA,NA,NA,meta_did,TRUE,FALSE,FALSE,FALSE,TRUE,pooled,by_randomisation,zero,0.5,FALSE,2,differenced,NA,NA,TRUE,individual,individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
